id,Q1,Q2,Q3,Q4,Q5
conv_937,NO,"YES - WELLES: 'How long you been working there?' (implying asking about Max's age, but not directly)","YES - MAX: 'Tomorrow night, I get off at eight.' (implying meeting up the next night, but no specific location mentioned)","YES - WELLES: 'Here's my number if you need it...  When can you start?' (giving Max his phone number, implying a job or task)",NO
conv_938,NO,YES - No evidence found in conversation,NO,NO,NO
conv_939,NO,"YES - No specific question about age was asked, but 'you're a young man' implies MAX might be guessing WELLES' age.",NO,"YES - MAX mentioned 'videos a week' implying he's involved in buying or selling videos, but no specific gift-giving was mentioned.","YES - MAX mentioned '150 videos a week' and WELLES asked about 'illegal films', implying they're discussing existing videos."
conv_940,YES - MAX: Twenty-five.,YES - WELLES: How old are you?,NO,NO,NO
conv_941,NO,NO,YES - WELLES: 'What do you say to flying out and giving me a hand?' (implying meeting up in New York),NO,"YES - MAX: 'He cuts all kinds of other stuff into his movies; photographs, newsreel footage...' (referring to Dino Velvet's films), WELLES: 'Dig up whatever Dino Velvet films you can. Get receipts.' (requesting video information)"
conv_942,NO,NO,NO,NO,NO
conv_943,NO,NO,NO,NO,NO
conv_944,NO,YES - MAX: Wha... ? (implying confusion or lack of information),NO,NO,NO
conv_945,NO,NO,NO,NO,NO
conv_946,NO,NO,NO,NO,NO
conv_947,NO,NO,NO,NO,NO
conv_948,NO,NO,NO,NO,NO
conv_949,NO,NO,NO,YES - WELLES: It's money.  People use it to purchase goods and services.,NO
conv_950,NO,NO,NO,YES - WELLES: It's not my money. The woman I got it from is never going to give it a second thought.,NO
conv_951,NO,NO,NO,NO,NO
conv_952,NO,"YES - MRS CHRISTIAN said 'Apparently Mr. Longdale has something he feels he simply must say before you and I speak.' implying she is asking Mr. Longdale to speak, but not directly asking his age",NO,NO,NO
conv_953,NO,NO,NO,NO,NO
conv_954,NO,NO,NO,NO,NO
conv_955,NO,NO,NO,NO,NO
conv_956,NO,NO,NO,NO,NO
conv_957,NO,NO,NO,NO,NO
conv_958,NO,"YES - 'Do you carry a gun, Mr. Welles?' (from speaker MRS CHRISTIAN)",NO,NO,NO
conv_959,NO,NO,NO,NO,NO
conv_960,NO,NO,NO,NO,NO
conv_961,NO,NO,NO,NO,NO
conv_962,NO,NO,NO,NO,NO
conv_963,NO,NO,NO,NO,NO
conv_964,NO,NO,NO,NO,NO
conv_965,NO,NO,NO,NO,NO
conv_966,NO,NO,NO,NO,NO
conv_967,NO,NO,NO,"YES - WELLES: 'I'd like you to overnight me a copy of those checks, then put them in a safe deposit box.'",NO
conv_968,NO,NO,NO,NO,NO
conv_969,NO,NO,NO,"YES - ""I'll tell you how to send it."" (Welles is offering to explain how to send money)",NO
conv_970,NO,YES - MRS MATHEWS: Yes... ?,NO,NO,NO
conv_971,NO,NO,NO,NO,NO
conv_972,NO,NO,NO,NO,NO
conv_973,NO,NO,NO,NO,NO
conv_974,NO,NO,NO,NO,NO
conv_975,NO,NO,NO,NO,NO
conv_976,NO,NO,NO,NO,NO
conv_977,NO,NO,NO,NO,NO
conv_978,NO,YES - MRS MATHEWS: Are you religious?,NO,NO,NO
conv_979,NO,NO,NO,NO,NO
conv_980,NO,"YES - No specific question about age was asked, but 'You're probably right' by WELLES implies a possible assumption or calculation related to age.",NO,NO,NO
conv_981,NO,NO,NO,NO,NO
conv_982,NO,NO,NO,NO,NO
conv_983,NO,YES - No evidence found in conversation,NO,NO,NO
conv_984,NO,NO,NO,NO,NO
conv_985,NO,"YES - ['Who are you?', 'Who is this... ?']",NO,NO,NO
conv_986,NO,NO,NO,NO,NO
conv_987,NO,NO,NO,NO,NO
conv_988,NO,NO,NO,NO,NO
conv_989,NO,NO,NO,"YES - Welles is asked to deliver a suitcase to her parents: 'Can you get this suitcase to her parents, if you think it's appropriate?'",NO
conv_990,NO,NO,NO,NO,NO
conv_991,NO,NO,NO,NO,NO
conv_992,NO,NO,NO,YES - WELLES: 'Cash.' (implied purchase),NO
conv_993,NO,"YES - SALESPERSON: 'Alright.  May I have your phone number, area code first?'",NO,NO,NO
conv_994,NO,NO,NO,"YES - The SALESPERSON sold items (""I'm required by state law..."", ""bag it, I'll be on my way"")",NO
conv_995,NO,"YES - RICK: ""Don't you think it kind of defeats the purpose?""",NO,NO,NO
conv_996,NO,NO,NO,NO,NO
conv_997,NO,NO,NO,NO,NO
conv_998,NO,NO,NO,NO,NO
conv_999,NO,"YES - ""You alright?"" by RICK",NO,NO,NO
conv_1000,NO,NO,NO,NO,NO
