id,Q1_labeled,Q2_labeled,Q3_labeled,Q4_labeled,Q5_labeled,Q1_conv,Q2_conv,Q3_conv,Q4_conv,Q5_conv,all_correct
conv_884,No,No,Yes - Meeting in person,No,No,NO,NO,NO,NO,NO,False
conv_885,No,No,No,No,No,NO,"YES - DINO VELVET, 'And, who's your colorful little chum?' (implying a question about Welles' companion)",NO,NO,NO,False
conv_886,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_887,No,No,No,No,Yes - Reference to filming,NO,NO,NO,YES - Five thousand dollars. (quote from WELLES),NO,False
conv_888,No,No,No,No,No,NO,NO,NO,YES - We can do that.,NO,False
conv_889,No,No,No,No,Yes - Discussion about taking pictures,NO,NO,NO,NO,NO,False
conv_890,No,No,No,No,No,NO,NO,NO,"YES - ""I'll do this for you.  Fifteen thousand dollars.""",NO,False
conv_891,No,No,Yes - Meeting in Brooklyn,No,No,NO,"YES - ""Where's that?"" (implying a question about location, but no direct ask for age)",NO,NO,NO,False
conv_892,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_893,No,No,Yes - Waiting for people to arrive,No,No,NO,YES - WELLES: Where are the women?,NO,NO,NO,False
conv_894,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_895,No,No,No,No,No,NO,"YES - ""What are you... ?"" (WELLES)",NO,NO,NO,False
conv_896,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_897,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_898,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_899,No,No,Yes - Reference to meeting in city,No,No,NO,NO,NO,NO,NO,False
conv_900,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_601,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_602,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_603,No,No,No,No,No,NO,"YES - HAMMOND: You made that move, huh? (implying interest or inquiry about CATES' actions)",NO,"YES - CATES: While you're at it, You can give me the switchblade, too. (requesting a physical item)",NO,False
conv_604,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_605,No,No,"Yes - Hammond suggests ""going a few laps"" with ladies after mentioning being in prison",No,No,NO,NO,NO,NO,NO,False
conv_606,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_607,No,No,No,No,No,NO,"YES - ""Maybe I don't like the way you ask."" - HAMMOND (implying a question was asked, but not directly related to age)",NO,NO,NO,False
conv_608,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_609,No,No,No,No,No,NO,"YES - [{'speaker': 'CATES', 'text': 'How much?'}, {'speaker': 'HAMMOND', 'text': 'Half a million.'}]",NO,NO,NO,False
conv_610,No,No,No,No,No,NO,YES - CATES: You catch on real fast... (implying Hammond's age is relevant),NO,NO,NO,False
conv_611,No,No,No,No,No,NO,"YES - HAMMOND: 'We split 50-50?' (implying a shared interest or resource, but no specific request for age)",NO,NO,NO,False
conv_612,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_613,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_614,No,No,No,No,No,NO,"YES - HAMMOND said 'You're a real case, you know that, Jack?' implying a question about CATES' state or behavior rather than directly asking for age",NO,NO,NO,False
conv_615,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_616,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_617,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_618,No,No,No,No,No,NO,"YES - HAMMOND's first turn: 'What?' (implying a question about something, but not explicitly asking for age)",NO,NO,NO,False
conv_619,No,No,No,No,No,NO,"YES - CATES: ""Didn't know you darker people went in for foreign jobs."" (implying a question about Hammond's background)",NO,NO,NO,False
conv_620,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_621,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_622,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_623,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_624,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_625,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_626,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_627,No,No,No,No,No,NO,"YES - HAMMOND: That was in style a couple years back, man.
CATES: Right. if you ever switch from armed robbery to pimping, then you're all set.",NO,NO,NO,False
conv_628,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_629,No,No,Yes - Hammond tells Cates he's at Vroman's in the Fillmore,No,No,NO,NO,NO,NO,NO,False
conv_630,No,No,No,No,No,NO,"YES - ""Where's luther?"" - This is an indirect way of asking about someone, but it doesn't explicitly ask for age.",NO,NO,NO,False
conv_631,No,No,No,No,No,NO,YES - CATES: What about Luther?,NO,NO,NO,False
conv_632,No,No,No,No,No,NO,NO,YES - CATES: Maybe we should pay Luther a visit.,NO,NO,False
conv_633,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_634,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_635,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_636,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_637,No,No,Yes - Hammond suggests taking someone to Luther's hotel,No,No,NO,NO,"YES - ""I can just take her right across the street to Luther's hotel.""","YES - ""All I need is some money for the room.""",NO,False
conv_638,No,No,No,No,No,NO,YES - CATES: Why?,NO,NO,NO,False
conv_639,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_640,No,No,Yes - Cates offers to buy Hammond a drink as a goodbye present,No,No,NO,NO,NO,YES - 'I'll buy you one.  It'll be my good-bye present.',NO,False
conv_641,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_642,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_643,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_644,No,No,No,No,No,NO,YES - HAMMOND: Do I get to kiss her too?,NO,NO,NO,False
conv_645,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_646,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_647,No,No,No,No,No,NO,YES - CATES: You okay?,NO,NO,NO,False
conv_648,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_649,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_650,No,No,No,No,No,NO,NO,NO,YES - CATES said 'It's your money.  It'll be here in six months when you get out.' which implies giving money,NO,False
conv_651,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_652,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_653,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_654,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_655,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_656,No,No,No,No,No,NO,"YES - HADEN: Which one pulled the trigger? (implying asking about a specific event, not age)",NO,NO,NO,False
conv_657,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_658,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_659,No,No,No,No,No,NO,"YES - HADEN: How you gonna take to a pink slip, huh?",NO,NO,NO,False
conv_660,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_661,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_662,No,No,No,No,No,NO,"YES - CATES: Are you gonna tell me about police procedure?  Do me a favor, don't give me a bunch of crap.",NO,NO,NO,False
conv_663,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_664,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_665,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_666,No,No,No,No,No,NO,YES - 'Who are all these?' (CATES),NO,NO,NO,False
conv_667,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_668,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_669,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_670,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_671,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_672,No,No,No,No,No,NO,"YES - KEHOE: 'That pal of yours from the Vice Squad wants you to call him.' (implying a request or action, but not directly asking for CATES' age)",NO,NO,NO,False
conv_673,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_674,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_675,No,No,No,No,No,NO,"YES - 'CATES': ""I think I met her.  Now tell us something we don't know, like where they stashed her."" (implying Luther should share information)",NO,NO,NO,False
conv_676,No,No,No,No,No,NO,YES - CATES: When? How?,NO,NO,NO,False
conv_677,No,No,No,No,No,NO,YES - ELAINE: What am I wanted for?,NO,NO,NO,False
conv_678,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_679,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_680,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_681,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_682,No,No,Yes - Elaine suggests coming over to Cates' place,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_683,No,No,Yes - Discussion about Cates coming by,No,No,NO,NO,NO,YES - CATES said 'Maybe you ought to buy me one.',NO,False
conv_684,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_685,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_686,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_687,No,No,No,No,No,NO,NO,NO,YES - ELAINE gave CATES his wallet and badge.,NO,False
conv_688,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_689,No,No,No,No,No,NO,"YES - 'Jack, are you okay?' - This implies concern and could be related to health or emotional state which might include age indirectly",NO,NO,NO,False
conv_690,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_691,No,No,Yes - Reference to meeting after work,No,No,NO,NO,"YES - CATES says 'I'm not gonna have time to come by' implying a meeting is being discussed, but no specific location mentioned",NO,NO,True
conv_692,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_693,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_694,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_695,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_696,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_697,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_698,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_699,No,No,No,No,No,NO,YES - 'CATES': 'How do you know?',NO,NO,NO,False
conv_700,No,No,No,No,No,NO,YES - No evidence found in conversation,NO,NO,NO,False
conv_501,No,No,No,No,No,NO,"YES - HAL: 'There's no need for you to trouble.' (implying a request for not being troubled, but not directly asking for age)",NO,NO,NO,False
conv_502,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_503,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_504,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_505,No,No,No,No,No,NO,NO,NO,NO,NO,True
conv_506,No,No,No,No,No,NO,"YES - [{'speaker': 'BOWMAN', 'text': 'Well, what is it?'}]",NO,NO,NO,False
conv_507,No,No,No,No,No,NO,"YES - C12: CONINUED (no explicit question, but the response 'Well... it's silly, but... if you want to, why don't you?' implies a potential invitation or request)",NO,NO,NO,False
conv_508,No,No,No,No,No,NO,"YES - 'Still, you really don't believe it, do you?' by BOWMAN - This line implies that Bowman is questioning C12's beliefs or understanding of something, possibly related to age or a similar concept.",NO,NO,NO,False
